city,day,facade,street_width_m,opposite_height_m,floor,direct_sun_h
Florence,autumn,south,20,18,2,11.8
Florence,autumn,south,20,18,3,11.8
Florence,autumn,south,20,18,4,11.8
Florence,autumn,south,20,18,5,11.8
Florence,autumn,south,30,18,0,11.8
Florence,autumn,south,30,18,1,11.8
Florence,autumn,south,30,18,2,11.8
Florence,autumn,south,30,18,3,11.8
Florence,autumn,south,30,18,4,11.8
Florence,autumn,south,30,18,5,11.8
Florence,autumn,east_or_west,8,18,0,1.2
Florence,autumn,east_or_west,8,18,1,1.5
Florence,autumn,east_or_west,8,18,2,1.8
Florence,autumn,east_or_west,8,18,3,2.4
Florence,autumn,east_or_west,8,18,4,3.4
Florence,autumn,east_or_west,8,18,5,5
Florence,autumn,east_or_west,12,18,0,1.8
Florence,autumn,east_or_west,12,18,1,2.2
Florence,autumn,east_or_west,12,18,2,2.6
Florence,autumn,east_or_west,12,18,3,3.3
Florence,autumn,east_or_west,12,18,4,4.2
Florence,autumn,east_or_west,12,18,5,5.3
Florence,autumn,east_or_west,20,18,0,2.8
Florence,autumn,east_or_west,20,18,1,3.1
Florence,autumn,east_or_west,20,18,2,3.6
Florence,autumn,east_or_west,20,18,3,4.2
Florence,autumn,east_or_west,20,18,4,4.8
Florence,autumn,east_or_west,20,18,5,5.7
Florence,autumn,east_or_west,30,18,0,3.5
Florence,autumn,east_or_west,30,18,1,3.8
Florence,autumn,east_or_west,30,18,2,4.3
Florence,autumn,east_or_west,30,18,3,4.8
Florence,autumn,east_or_west,30,18,4,5.2
Florence,autumn,east_or_west,30,18,5,5.7
Florence,winter,south,8,18,0,0
Florence,winter,south,8,18,1,0
Florence,winter,south,8,18,2,0
Florence,winter,south,8,18,3,0
Florence,winter,south,8,18,4,0
Florence,winter,south,8,18,5,7
Florence,winter,south,12,18,0,0
Florence,winter,south,12,18,1,0
Florence,winter,south,12,18,2,0
Florence,winter,south,12,18,3,0
Florence,winter,south,12,18,4,3.2
Florence,winter,south,12,18,5,7.7
Florence,winter,south,20,18,0,0
Florence,winter,south,20,18,1,0
